Date and Time,Nirayana Longitude(Degrees),Latitude
 2030-01-14 15:44:00,270.00022947113564,-0.9319237419043032
 2030-01-15 15:44:00,271.0184929534612,-0.9081731173103954
 2030-01-16 15:44:00,272.0365112779145,-0.8839208590526834
 2030-01-17 15:44:00,273.0547149422406,-0.8593663304762243
 2030-01-18 15:44:00,274.0723934895221,-0.8344228109984366
 2030-01-19 15:44:00,275.0899853942757,-0.8091911356466701
 2030-01-20 15:44:00,276.10753802547697,-0.7837287758775471
 2030-01-21 15:44:00,277.12470073811755,-0.7580665123546753
 2030-01-22 15:44:00,278.14190118508895,-0.7323069315531425
 2030-01-23 15:44:00,279.1587867960327,-0.7064403600193898
 2030-01-24 15:44:00,280.1757719665353,-0.6805998054634931
 2030-01-25 15:44:00,281.1924963332429,-0.6547649289011525
 2030-01-26 15:44:00,282.20898463691634,-0.6289702954148048
 2030-01-27 15:44:00,283.2252512256124,-0.6032772800841654
 2030-01-28 15:44:00,284.24168162578155,-0.5778756071520714
 2030-01-29 15:44:00,285.25753200347947,-0.5525583189250868
 2030-01-30 15:44:00,286.27356267607587,-0.5276125716210965
 2030-01-31 15:44:00,287.28939039190357,-0.5029830463069825
 2030-02-01 15:44:00,288.30462826216666,-0.47860162980703047
 2030-02-02 15:44:00,289.3200169217434,-0.45478571559135605
 2030-02-03 15:44:00,290.33479541015146,-0.4312877569082077
 2030-02-04 15:44:00,291.3493228448626,-0.40827912624710067
 2030-02-05 15:44:00,292.363572217853,-0.3858154757815655
 2030-02-06 15:44:00,293.3775296503479,-0.36389111769407134
 2030-02-07 15:44:00,294.39115300414534,-0.3425817500390236
 2030-02-08 15:44:00,295.40403984313764,-0.3217479811445088
 2030-02-09 15:44:00,296.41691458703843,-0.3016778759234646
 2030-02-10 15:44:00,297.42898696647205,-0.2820969646499014
 2030-02-11 15:44:00,298.4405932607072,-0.26316166485214465
 2030-02-12 15:44:00,299.45206662727276,-0.24503140658444963
 2030-02-13 15:44:00,300.4630003076017,-0.22751618658033682
 2030-02-14 15:44:00,301.4733308595572,-0.21066253600958967
 2030-02-15 15:44:00,302.48340218804236,-0.19456819710153914
 2030-02-16 15:44:00,303.49316445028046,-0.17922194738064187
 2030-02-17 15:44:00,304.50217364224045,-0.16449496247496337
 2030-02-18 15:44:00,305.5107769416424,-0.15045226402058093
 2030-02-19 15:44:00,306.51889868241307,-0.13712624989925967
 2030-02-20 15:44:00,307.5268823135623,-0.1245830052611007
