jd,theta_na,theta_sa,r
2086752.500000,355.718994,5.665597,1.002669
2086753.500000,356.699063,6.645704,1.002965
2086754.500000,357.678620,7.625300,1.003259
2086755.500000,358.657662,8.604379,1.003552
2086756.500000,359.636182,9.582937,1.003843
2086757.500000,0.614176,10.560969,1.004132
2086758.500000,1.591639,11.538470,1.004418
2086759.500000,2.568566,12.515435,1.004701
2086760.500000,3.544951,13.491858,1.004982
2086761.500000,4.520784,14.467729,1.005259
2086762.500000,5.496056,15.443039,1.005534
2086763.500000,6.470754,16.417775,1.005806
2086764.500000,7.444862,17.391921,1.006075
2086765.500000,8.418366,18.365463,1.006342
2086766.500000,9.391253,19.338388,1.006606
2086767.500000,10.363518,20.310691,1.006869
2086768.500000,11.335161,21.282372,1.007129
2086769.500000,12.306193,22.253441,1.007389
2086770.500000,13.276634,23.223921,1.007647
2086771.500000,14.246513,24.193838,1.007904
2086772.500000,15.215863,25.163225,1.008160
2086773.500000,16.184715,26.132116,1.008415
2086774.500000,17.153099,27.100537,1.008669
2086775.500000,18.121037,28.068514,1.008922
2086776.500000,19.088548,29.036063,1.009173
2086777.500000,20.055645,30.003197,1.009422
2086778.500000,21.022335,30.969926,1.009670
2086779.500000,21.988628,31.936256,1.009915
2086780.500000,22.954527,32.902194,1.010158
2086781.500000,23.920038,33.867743,1.010397
2086782.500000,24.885166,34.832909,1.010634
2086783.500000,25.849914,35.797695,1.010867
2086784.500000,26.814288,36.762106,1.011096
2086785.500000,27.778289,37.726146,1.011321
2086786.500000,28.741923,38.689817,1.011542
2086787.500000,29.705189,39.653121,1.011759
2086788.500000,30.668086,40.616057,1.011970
2086789.500000,31.630611,41.578619,1.012177
2086790.500000,32.592752,42.540799,1.012379
2086791.500000,33.554497,43.502581,1.012576
2086792.500000,34.515825,44.463947,1.012767
2086793.500000,35.476719,45.424880,1.012954
2086794.500000,36.437165,46.385363,1.013137
2086795.500000,37.397153,47.345390,1.013315
2086796.500000,38.356687,48.304962,1.013489
2086797.500000,39.315779,49.264091,1.013660
2086798.500000,40.274449,50.222799,1.013827
2086799.500000,41.232724,51.181112,1.013991
2086800.500000,42.190637,52.139063,1.014152
2086801.500000,43.148216,53.096681,1.014311
2086802.500000,44.105492,54.053994,1.014466
2086803.500000,45.062488,55.011028,1.014619
2086804.500000,46.019224,55.967802,1.014769
2086805.500000,46.975719,56.924335,1.014916
2086806.500000,47.931986,57.880640,1.015060
2086807.500000,48.888039,58.836731,1.015200
2086808.500000,49.843891,59.792621,1.015336
2086809.500000,50.799554,60.748322,1.015469
2086810.500000,51.755040,61.703846,1.015597
2086811.500000,52.710363,62.659206,1.015721
2086812.500000,53.665533,63.614415,1.015840
2086813.500000,54.620562,64.569482,1.015954
2086814.500000,55.575460,65.524418,1.016063
2086815.500000,56.530234,66.479230,1.016167
2086816.500000,57.484887,67.433921,1.016265
2086817.500000,58.439418,68.388490,1.016356
2086818.500000,59.393817,69.342927,1.016442
2086819.500000,60.348069,70.297217,1.016521
2086820.500000,61.302153,71.251339,1.016594
2086821.500000,62.256048,72.205271,1.016661
2086822.500000,63.209736,73.158998,1.016723
2086823.500000,64.163210,74.112510,1.016778
2086824.500000,65.116472,75.065810,1.016828
2086825.500000,66.069532,76.018907,1.016873
2086826.500000,67.022408,76.971822,1.016914
2086827.500000,67.975125,77.924577,1.016950
2086828.500000,68.927707,78.877197,1.016982
2086829.500000,69.880180,79.829708,1.017010
2086830.500000,70.832569,80.782134,1.017035
2086831.500000,71.784896,81.734499,1.017056
2086832.500000,72.737182,82.686823,1.017073
2086833.500000,73.689445,83.639125,1.017087
2086834.500000,74.641704,84.591422,1.017098
2086835.500000,75.593977,85.543732,1.017104
2086836.500000,76.546280,86.496073,1.017107
2086837.500000,77.498631,87.448463,1.017105
2086838.500000,78.451049,88.400919,1.017099
2086839.500000,79.403552,89.353460,1.017089
2086840.500000,80.356158,90.306103,1.017074
2086841.500000,81.308884,91.258867,1.017054
2086842.500000,82.261744,92.211766,1.017029
2086843.500000,83.214752,93.164811,1.016999
2086844.500000,84.167913,94.118010,1.016963
2086845.500000,85.121227,95.071362,1.016921
2086846.500000,86.074687,96.024860,1.016873
2086847.500000,87.028276,96.978487,1.016818
2086848.500000,87.981972,97.932221,1.016758
2086849.500000,88.935752,98.886039,1.016690
2086850.500000,89.889599,99.839924,1.016617
2086851.500000,90.843503,100.793866,1.016538
2086852.500000,91.797465,101.747867,1.016453
2086853.500000,92.751494,102.701933,1.016363
2086854.500000,93.705601,103.656078,1.016268
2086855.500000,94.659802,104.610317,1.016168
2086856.500000,95.614115,105.564668,1.016064
2086857.500000,96.568557,106.519148,1.015956
2086858.500000,97.523148,107.473776,1.015844
2086859.500000,98.477904,108.428570,1.015729
2086860.500000,99.432844,109.383548,1.015611
2086861.500000,100.387986,110.338728,1.015489
2086862.500000,101.343348,111.294129,1.015364
2086863.500000,102.298949,112.249768,1.015236
2086864.500000,103.254810,113.205667,1.015105
2086865.500000,104.210950,114.161845,1.014971
2086866.500000,105.167391,115.118323,1.014833
2086867.500000,106.124154,116.075125,1.014691
2086868.500000,107.081263,117.032272,1.014546
2086869.500000,108.038737,117.989784,1.014398
2086870.500000,108.996595,118.947680,1.014245
2086871.500000,109.954851,119.905974,1.014088
2086872.500000,110.913515,120.864675,1.013926
2086873.500000,111.872587,121.823786,1.013760
2086874.500000,112.832060,122.783297,1.013588
2086875.500000,113.791918,123.743192,1.013412
2086876.500000,114.752138,124.703451,1.013230
2086877.500000,115.712699,125.664050,1.013042
2086878.500000,116.673583,126.624972,1.012850
2086879.500000,117.634780,127.586206,1.012652
2086880.500000,118.596287,128.547752,1.012449
2086881.500000,119.558108,129.509611,1.012242
2086882.500000,120.520247,130.471788,1.012030
2086883.500000,121.482711,131.434289,1.011814
2086884.500000,122.445506,132.397122,1.011595
2086885.500000,123.408639,133.360294,1.011373
2086886.500000,124.372122,134.323814,1.011148
2086887.500000,125.335965,135.287695,1.010921
2086888.500000,126.300181,136.251949,1.010691
2086889.500000,127.264785,137.216592,1.010459
2086890.500000,128.229793,138.181638,1.010226
2086891.500000,129.195223,139.147105,1.009990
2086892.500000,130.161093,140.113013,1.009753
2086893.500000,131.127424,141.079382,1.009515
2086894.500000,132.094238,142.046234,1.009274
2086895.500000,133.061558,143.013592,1.009032
2086896.500000,134.029406,143.981479,1.008788
2086897.500000,134.997806,144.949916,1.008542
2086898.500000,135.966776,145.918924,1.008295
2086899.500000,136.936331,146.888517,1.008045
2086900.500000,137.906481,147.858705,1.007792
2086901.500000,138.877227,148.829489,1.007537
2086902.500000,139.848562,149.800863,1.007279
2086903.500000,140.820472,150.772810,1.007018
2086904.500000,141.792935,151.745311,1.006754
2086905.500000,142.765931,152.718345,1.006486
2086906.500000,143.739444,153.691896,1.006214
2086907.500000,144.713462,154.665952,1.005940
2086908.500000,145.687980,155.640508,1.005662
2086909.500000,146.662993,156.615559,1.005380
2086910.500000,147.638497,157.591101,1.005097
2086911.500000,148.614487,158.567129,1.004810
2086912.500000,149.590957,159.543637,1.004522
2086913.500000,150.567906,160.520624,1.004233
2086914.500000,151.545331,161.498087,1.003942
2086915.500000,152.523237,162.476031,1.003650
2086916.500000,153.501629,163.454460,1.003358
2086917.500000,154.480515,164.433385,1.003065
2086918.500000,155.459906,165.412814,1.002773
2086919.500000,156.439817,166.392762,1.002480
2086920.500000,157.420261,167.373244,1.002188
2086921.500000,158.401257,168.354278,1.001897
2086922.500000,159.382824,169.335883,1.001606
2086923.500000,160.364983,170.318081,1.001316
2086924.500000,161.347755,171.300891,1.001026
2086925.500000,162.331162,172.284335,1.000737
2086926.500000,163.315219,173.268431,1.000449
2086927.500000,164.299942,174.253191,1.000161
2086928.500000,165.285337,175.238624,0.999874
2086929.500000,166.271406,176.224731,0.999587
2086930.500000,167.258142,177.211506,0.999299
2086931.500000,168.245533,178.198934,0.999011
2086932.500000,169.233560,179.186999,0.998722
2086933.500000,170.222207,180.175685,0.998433
2086934.500000,171.211459,181.164974,0.998142
2086935.500000,172.201303,182.154856,0.997850
2086936.500000,173.191729,183.145320,0.997558
2086937.500000,174.182725,184.136354,0.997264
2086938.500000,175.174277,185.127944,0.996970
2086939.500000,176.166368,186.120073,0.996676
2086940.500000,177.158982,187.112725,0.996382
2086941.500000,178.152103,188.105884,0.996088
2086942.500000,179.145722,189.099541,0.995795
2086943.500000,180.139830,190.093687,0.995503
2086944.500000,181.134425,191.088320,0.995213
2086945.500000,182.129507,192.083440,0.994924
2086946.500000,183.125080,193.079052,0.994637
2086947.500000,184.121151,194.075160,0.994353
2086948.500000,185.117729,195.071776,0.994071
2086949.500000,186.114825,196.068911,0.993792
2086950.500000,187.112455,197.066578,0.993516
2086951.500000,188.110633,198.064794,0.993244
2086952.500000,189.109377,199.063576,0.992974
2086953.500000,190.108704,200.062941,0.992708
2086954.500000,191.108626,201.062901,0.992445
2086955.500000,192.109153,202.063466,0.992185
2086956.500000,193.110291,203.064642,0.991929
2086957.500000,194.112039,204.066428,0.991675
2086958.500000,195.114392,205.068819,0.991424
2086959.500000,196.117340,206.071805,0.991175
2086960.500000,197.120870,207.075373,0.990929
2086961.500000,198.124971,208.079512,0.990684
2086962.500000,199.129629,209.084208,0.990442
2086963.500000,200.134831,210.089448,0.990200
2086964.500000,201.140562,211.095217,0.989960
2086965.500000,202.146804,212.101497,0.989722
2086966.500000,203.153534,213.108265,0.989485
2086967.500000,204.160725,214.115493,0.989250
2086968.500000,205.168350,215.123157,0.989017
2086969.500000,206.176385,216.131230,0.988786
2086970.500000,207.184809,217.139691,0.988558
2086971.500000,208.193604,218.148525,0.988333
2086972.500000,209.202760,219.157718,0.988111
2086973.500000,210.212268,220.167264,0.987893
2086974.500000,211.222123,221.177158,0.987679
2086975.500000,212.232325,222.187398,0.987468
2086976.500000,213.242875,223.197986,0.987263
2086977.500000,214.253778,224.208926,0.987061
2086978.500000,215.265040,225.220227,0.986865
2086979.500000,216.276672,226.231897,0.986674
2086980.500000,217.288684,227.243946,0.986488
2086981.500000,218.301086,228.256387,0.986307
2086982.500000,219.313887,229.269225,0.986132
2086983.500000,220.327091,230.282467,0.985963
2086984.500000,221.340700,231.296114,0.985799
2086985.500000,222.354713,232.310165,0.985640
2086986.500000,223.369127,233.324617,0.985486
2086987.500000,224.383937,234.339465,0.985337
2086988.500000,225.399138,235.354704,0.985193
2086989.500000,226.414723,236.370327,0.985052
2086990.500000,227.430683,237.386325,0.984916
