jd,theta_na,theta_sa,r
1904127.500000,358.818770,1.844813,1.004043
1904128.500000,359.795556,2.821637,1.004331
1904129.500000,0.771809,3.797927,1.004620
1904130.500000,1.747555,4.773711,1.004908
1904131.500000,2.722817,5.749011,1.005196
1904132.500000,3.697612,6.723844,1.005484
1904133.500000,4.671953,7.698222,1.005770
1904134.500000,5.645843,8.672150,1.006055
1904135.500000,6.619282,9.645627,1.006338
1904136.500000,7.592264,10.618647,1.006619
1904137.500000,8.564781,11.591202,1.006897
1904138.500000,9.536825,12.563283,1.007172
1904139.500000,10.508389,13.534886,1.007444
1904140.500000,11.479468,14.506002,1.007712
1904141.500000,12.450056,15.476628,1.007976
1904142.500000,13.420146,16.446755,1.008237
1904143.500000,14.389727,17.416375,1.008493
1904144.500000,15.358790,18.385476,1.008746
1904145.500000,16.327325,19.354049,1.008996
1904146.500000,17.295323,20.322084,1.009241
1904147.500000,18.262778,21.289577,1.009484
1904148.500000,19.229687,22.256524,1.009723
1904149.500000,20.196052,23.222926,1.009960
1904150.500000,21.161874,24.188787,1.010193
1904151.500000,22.127162,25.154113,1.010424
1904152.500000,23.091927,26.118915,1.010652
1904153.500000,24.056181,27.083207,1.010878
1904154.500000,25.019945,28.047009,1.011101
1904155.500000,25.983242,29.010343,1.011323
1904156.500000,26.946097,29.973236,1.011542
1904157.500000,27.908540,30.935717,1.011760
1904158.500000,28.870598,31.897813,1.011975
1904159.500000,29.832299,32.859551,1.012188
1904160.500000,30.793662,33.820952,1.012399
1904161.500000,31.754704,34.782033,1.012608
1904162.500000,32.715437,35.742803,1.012813
1904163.500000,33.675870,36.703274,1.013016
1904164.500000,34.636008,37.663450,1.013215
1904165.500000,35.595859,38.623338,1.013409
1904166.500000,36.555426,39.582943,1.013599
1904167.500000,37.514712,40.542268,1.013785
1904168.500000,38.473720,41.501313,1.013965
1904169.500000,39.432447,42.460078,1.014140
1904170.500000,40.390886,43.418555,1.014309
1904171.500000,41.349030,44.376737,1.014473
1904172.500000,42.306868,45.334612,1.014631
1904173.500000,43.264388,46.292170,1.014784
1904174.500000,44.221581,47.249401,1.014931
1904175.500000,45.178440,48.206298,1.015074
1904176.500000,46.134962,49.162858,1.015211
1904177.500000,47.091146,50.119079,1.015343
1904178.500000,48.046994,51.074965,1.015471
1904179.500000,49.002514,52.030522,1.015594
1904180.500000,49.957713,52.985760,1.015713
1904181.500000,50.912607,53.940691,1.015828
1904182.500000,51.867212,54.895334,1.015939
1904183.500000,52.821551,55.849711,1.016046
1904184.500000,53.775649,56.803847,1.016149
1904185.500000,54.729533,57.757769,1.016250
1904186.500000,55.683232,58.711506,1.016347
1904187.500000,56.636770,59.665082,1.016441
