jul_day,true_long (na),true_long (sa),ayanamsha
2342436.330608,0.000000,19.687525,19.687525
2342444.330608,7.817179,27.505009,19.687831
2342452.330608,15.596508,35.284644,19.688136
2342460.330608,23.346679,43.035121,19.688442
2342468.330608,31.070619,50.759367,19.688748
2342467.220036,30.000000,49.688705,19.688705
2342475.220036,37.699157,57.388168,19.689011
2342483.220036,45.372582,65.061899,19.689317
2342491.220036,53.030047,72.719670,19.689623
2342499.220036,60.675038,80.364966,19.689928
2342498.513036,60.000000,79.689901,19.689901
2342506.513036,67.631677,87.321884,19.690207
2342514.513036,75.255732,94.946245,19.690513
2342522.513036,82.881661,102.572479,19.690819
2342530.513036,90.511280,110.202404,19.691124
2342529.976979,90.000000,109.691104,19.691104
2342537.976979,97.632558,117.323967,19.691410
2342545.976979,105.276839,124.968555,19.691715
2342553.976979,112.941173,132.633194,19.692021
2342561.976979,120.624253,140.316579,19.692327
2342561.327671,120.000000,139.692302,19.692302
2342569.327671,127.701373,147.393981,19.692608
2342577.327671,135.431197,155.124110,19.692913
2342585.327671,143.194512,162.887731,19.693219
2342593.327671,150.987617,170.681142,19.693525
2342592.315476,150.000000,169.693486,19.693486
2342600.315476,157.820261,177.514053,19.693792
2342608.315476,165.678909,185.373007,19.694098
2342616.315476,173.576604,193.271007,19.694403
2342624.315476,181.507308,201.202017,19.694709
2342622.797466,180.000000,199.694651,19.694651
2342630.797466,187.958005,207.652961,19.694957
2342638.797466,195.954246,215.649509,19.695262
2342646.797466,203.985662,223.681230,19.695568
2342654.797466,212.043533,231.739407,19.695874
2342652.770962,210.000000,229.695796,19.695796
2342660.770962,218.077335,237.773437,19.696102
2342668.770962,226.182470,245.878878,19.696408
2342676.770962,234.309658,254.006372,19.696714
2342684.770962,242.448230,262.145249,19.697019
2342682.365394,240.000000,259.696927,19.696927
2342690.365394,248.145323,267.842556,19.697233
2342698.365394,256.300709,275.998247,19.697539
2342706.365394,264.459069,284.156914,19.697845
2342714.365394,272.609381,292.307532,19.698150
2342711.803016,270.000000,289.698052,19.698052
2342719.803016,278.143104,297.841462,19.698358
2342727.803016,286.276596,305.975260,19.698664
2342735.803016,294.393676,314.092646,19.698970
2342743.803016,302.484704,322.183980,19.699275
2342741.343258,300.000000,319.699181,19.699181
2342749.343258,308.071472,327.770959,19.699487
2342757.343258,316.117726,335.817519,19.699793
2342765.343258,324.133569,343.833668,19.700099
2342773.343258,332.111891,351.812295,19.700404
2342771.221766,330.000000,349.700323,19.700323
2342779.221766,337.950544,357.651173,19.700629
2342787.221766,345.868653,5.569587,19.700935
2342795.221766,353.751402,13.452643,19.701240
2342803.221766,1.594274,21.295820,19.701546
