jd,theta_na,theta_sa,r
2269377.500000,352.588103,9.486100,1.001209
2269378.500000,353.571295,10.469329,1.001496
2269379.500000,354.553884,11.451957,1.001781
2269380.500000,355.535859,12.433970,1.002065
2269381.500000,356.517210,13.415359,1.002347
2269382.500000,357.497929,14.396116,1.002628
2269383.500000,358.478011,15.376237,1.002908
2269384.500000,359.457457,16.355720,1.003188
2269385.500000,0.436267,17.334569,1.003466
2269386.500000,1.414448,18.312788,1.003744
2269387.500000,2.392008,19.290386,1.004021
2269388.500000,3.368960,20.267377,1.004299
2269389.500000,4.345321,21.243775,1.004575
2269390.500000,5.321110,22.219603,1.004852
2269391.500000,6.296352,23.194883,1.005128
2269392.500000,7.271072,24.169641,1.005405
2269393.500000,8.245295,25.143903,1.005681
2269394.500000,9.219045,26.117691,1.005956
2269395.500000,10.192340,27.091024,1.006231
2269396.500000,11.165193,28.063915,1.006505
2269397.500000,12.137612,29.036372,1.006777
2269398.500000,13.109600,30.008398,1.007048
2269399.500000,14.081157,30.979993,1.007317
2269400.500000,15.052279,31.951153,1.007583
2269401.500000,16.022964,32.921877,1.007846
2269402.500000,16.993211,33.892161,1.008105
2269403.500000,17.963014,34.862003,1.008361
2269404.500000,18.932370,35.831397,1.008613
2269405.500000,19.901271,36.800336,1.008861
2269406.500000,20.869706,37.768809,1.009105
2269407.500000,21.837662,38.736803,1.009345
2269408.500000,22.805127,39.704307,1.009581
2269409.500000,23.772090,40.671308,1.009813
2269410.500000,24.738543,41.637799,1.010042
2269411.500000,25.704481,42.603775,1.010267
2269412.500000,26.669903,43.569235,1.010488
2269413.500000,27.634811,44.534181,1.010707
2269414.500000,28.599211,45.498619,1.010922
2269415.500000,29.563113,46.462559,1.011135
2269416.500000,30.526530,47.426014,1.011345
2269417.500000,31.489479,48.389001,1.011552
2269418.500000,32.451981,49.351542,1.011757
2269419.500000,33.414061,50.313660,1.011960
2269420.500000,34.375747,51.275384,1.012160
2269421.500000,35.337065,52.236740,1.012359
2269422.500000,36.298039,53.197753,1.012555
2269423.500000,37.258692,54.158443,1.012749
2269424.500000,38.219039,55.118829,1.012941
2269425.500000,39.179096,56.078923,1.013129
2269426.500000,40.138873,57.038739,1.013315
2269427.500000,41.098384,57.998288,1.013497
2269428.500000,42.057639,58.957581,1.013676
2269429.500000,43.016648,59.916629,1.013850
2269430.500000,43.975420,60.875438,1.014019
2269431.500000,44.933956,61.834013,1.014184
2269432.500000,45.892257,62.792352,1.014343
2269433.500000,46.850317,63.750450,1.014496
2269434.500000,47.808127,64.708298,1.014644
2269435.500000,48.765674,65.665883,1.014787
2269436.500000,49.722945,66.623193,1.014924
2269437.500000,50.679931,67.580217,1.015055
2269438.500000,51.636623,68.536946,1.015182
2269439.500000,52.593014,69.493376,1.015302
2269440.500000,53.549103,70.449503,1.015418
2269441.500000,54.504893,71.405331,1.015529
2269442.500000,55.460387,72.360863,1.015635
2269443.500000,56.415594,73.316108,1.015737
2269444.500000,57.370526,74.271078,1.015834
2269445.500000,58.325198,75.225789,1.015927
2269446.500000,59.279630,76.180259,1.016016
2269447.500000,60.233843,77.134511,1.016101
2269448.500000,61.187864,78.088570,1.016183
2269449.500000,62.141717,79.042461,1.016262
2269450.500000,63.095425,79.996207,1.016338
2269451.500000,64.049009,80.949828,1.016410
2269452.500000,65.002486,81.903344,1.016479
2269453.500000,65.955877,82.856773,1.016545
2269454.500000,66.909201,83.810135,1.016607
2269455.500000,67.862480,84.763452,1.016665
2269456.500000,68.815737,85.716747,1.016719
2269457.500000,69.768991,86.670040,1.016768
2269458.500000,70.722259,87.623346,1.016812
2269459.500000,71.675550,88.576675,1.016851
2269460.500000,72.628865,89.530028,1.016884
2269461.500000,73.582201,90.483402,1.016911
2269462.500000,74.535550,91.436789,1.016932
2269463.500000,75.488900,92.390178,1.016947
2269464.500000,76.442240,93.343556,1.016956
2269465.500000,77.395559,94.296913,1.016959
2269466.500000,78.348848,95.250240,1.016955
2269467.500000,79.302102,96.203532,1.016946
2269468.500000,80.255316,97.156784,1.016931
2269469.500000,81.208492,98.109998,1.016910
2269470.500000,82.161632,99.063176,1.016884
2269471.500000,83.114741,100.016324,1.016852
2269472.500000,84.067829,100.969450,1.016816
2269473.500000,85.020907,101.922566,1.016774
2269474.500000,85.973989,102.875686,1.016728
2269475.500000,86.927093,103.828828,1.016678
2269476.500000,87.880238,104.782011,1.016624
2269477.500000,88.833443,105.735255,1.016566
2269478.500000,89.786728,106.688578,1.016505
2269479.500000,90.740109,107.641997,1.016441
2269480.500000,91.693606,108.595532,1.016373
2269481.500000,92.647238,109.549203,1.016303
2269482.500000,93.601033,110.503035,1.016229
2269483.500000,94.555019,111.457060,1.016151
2269484.500000,95.509228,112.411306,1.016070
2269485.500000,96.463686,113.365803,1.015985
2269486.500000,97.418414,114.320569,1.015895
2269487.500000,98.373425,115.275619,1.015800
2269488.500000,99.328723,116.230955,1.015701
2269489.500000,100.284306,117.186576,1.015596
2269490.500000,101.240167,118.142474,1.015486
2269491.500000,102.196295,119.098641,1.015371
2269492.500000,103.152681,120.055065,1.015249
2269493.500000,104.109313,121.011735,1.015123
2269494.500000,105.066184,121.968644,1.014990
2269495.500000,106.023285,122.925784,1.014852
2269496.500000,106.980614,123.883150,1.014709
2269497.500000,107.938167,124.840742,1.014560
2269498.500000,108.895945,125.798558,1.014406
2269499.500000,109.853950,126.756600,1.014247
2269500.500000,110.812184,127.714873,1.014083
2269501.500000,111.770655,128.673382,1.013915
2269502.500000,112.729369,129.632134,1.013743
2269503.500000,113.688335,130.591139,1.013567
2269504.500000,114.647566,131.550407,1.013387
2269505.500000,115.607071,132.509951,1.013205
2269506.500000,116.566863,133.469781,1.013019
2269507.500000,117.526953,134.429909,1.012832
2269508.500000,118.487358,135.390353,1.012641
2269509.500000,119.448100,136.351132,1.012449
2269510.500000,120.409205,137.312276,1.012255
2269511.500000,121.370710,138.273818,1.012058
2269512.500000,122.332647,139.235794,1.011860
2269513.500000,123.295049,140.198234,1.011658
2269514.500000,124.257937,141.161160,1.011454
2269515.500000,125.221326,142.124587,1.011247
2269516.500000,126.185220,143.088520,1.011036
2269517.500000,127.149620,144.052957,1.010822
2269518.500000,128.114518,145.017893,1.010605
2269519.500000,129.079906,145.983320,1.010383
2269520.500000,130.045775,146.949227,1.010157
2269521.500000,131.012116,147.915606,1.009928
2269522.500000,131.978918,148.882446,1.009694
2269523.500000,132.946175,149.849742,1.009456
2269524.500000,133.913881,150.817486,1.009214
2269525.500000,134.882031,151.785674,1.008968
2269526.500000,135.850621,152.754302,1.008718
2269527.500000,136.819649,153.723368,1.008465
2269528.500000,137.789112,154.692869,1.008208
2269529.500000,138.759008,155.662803,1.007948
2269530.500000,139.729336,156.633169,1.007685
2269531.500000,140.700095,157.603966,1.007419
