jd,theta_na,theta_sa,r
1209864.500000,84.112909,61.111318,1.017202
1209865.500000,85.065035,62.063481,1.017116
1209866.500000,86.017371,63.015854,1.017026
1209867.500000,86.969935,63.968455,1.016933
1209868.500000,87.922743,64.921301,1.016835
1209869.500000,88.875813,65.874408,1.016733
1209870.500000,89.829161,66.827793,1.016627
1209871.500000,90.782804,67.781474,1.016516
1209872.500000,91.736756,68.735462,1.016400
1209873.500000,92.691025,69.689769,1.016279
1209874.500000,93.645616,70.644396,1.016151
1209875.500000,94.600524,71.599342,1.016018
1209876.500000,95.555739,72.554594,1.015878
1209877.500000,96.511246,73.510139,1.015733
1209878.500000,97.467028,74.465957,1.015582
1209879.500000,98.423068,75.422035,1.015425
1209880.500000,99.379355,76.378359,1.015262
1209881.500000,100.335883,77.334924,1.015094
1209882.500000,101.292651,78.291729,1.014920
1209883.500000,102.249661,79.248776,1.014742
1209884.500000,103.206921,80.206074,1.014560
1209885.500000,104.164443,81.163632,1.014373
1209886.500000,105.122238,82.121465,1.014182
1209887.500000,106.080324,83.079588,1.013987
1209888.500000,107.038716,84.038017,1.013789
1209889.500000,107.997433,84.996771,1.013587
1209890.500000,108.956494,85.955869,1.013383
1209891.500000,109.915918,86.915331,1.013176
1209892.500000,110.875725,87.875175,1.012966
1209893.500000,111.835930,88.835417,1.012754
1209894.500000,112.796552,89.796076,1.012540
1209895.500000,113.757607,90.757168,1.012324
1209896.500000,114.719116,91.718714,1.012105
1209897.500000,115.681101,92.680737,1.011883
1209898.500000,116.643587,93.643260,1.011659
1209899.500000,117.606597,94.606307,1.011432
1209900.500000,118.570149,95.569896,1.011201
1209901.500000,119.534255,96.534039,1.010967
1209902.500000,120.498919,97.498740,1.010729
1209903.500000,121.464135,98.463993,1.010487
1209904.500000,122.429890,99.429786,1.010240
1209905.500000,123.396169,100.396102,1.009989
1209906.500000,124.362951,101.362921,1.009734
1209907.500000,125.330219,102.330226,1.009475
1209908.500000,126.297957,103.298002,1.009211
1209909.500000,127.266156,104.266237,1.008944
1209910.500000,128.234809,105.234927,1.008672
1209911.500000,129.203914,106.204070,1.008398
1209912.500000,130.173473,107.173666,1.008120
1209913.500000,131.143489,108.143720,1.007839
1209914.500000,132.113969,109.114237,1.007556
