jd,theta_na,theta_sa,r
2280460.651420,113.174072,130.494927,1.013605
2280461.651420,114.133119,131.454013,1.013430
2280462.651420,115.092453,132.413384,1.013252
2280463.651420,116.052088,133.373058,1.013070
2280464.651420,117.012044,134.333052,1.012887
2280465.651420,117.972339,135.293385,1.012701
2280466.651420,118.932994,136.254079,1.012512
2280467.651420,119.894034,137.215157,1.012321
2280468.651420,120.855484,138.176645,1.012127
2280469.651420,121.817368,139.138567,1.011931
2280470.651420,122.779712,140.100949,1.011732
2280471.651420,123.742536,141.063811,1.011531
2280472.651420,124.705857,142.027170,1.011326
2280473.651420,125.669683,142.991035,1.011118
2280474.651420,126.634017,143.955406,1.010906
2280475.651420,127.598850,144.920278,1.010690
2280476.651420,128.564169,145.885635,1.010469
2280477.651420,129.529955,146.851460,1.010244
2280478.651420,130.496193,147.817735,1.010015
2280479.651420,131.462866,148.784447,1.009782
2280480.651420,132.429966,149.751584,1.009543
2280481.651420,133.397485,150.719142,1.009301
2280482.651420,134.365420,151.687115,1.009055
2280483.651420,135.333768,152.655501,1.008805
2280484.651420,136.302528,153.624299,1.008552
2280485.651420,137.271700,154.593509,1.008296
2280486.651420,138.241286,155.563134,1.008037
2280487.651420,139.211292,156.533178,1.007776
2280488.651420,140.181722,157.503646,1.007513
2280489.651420,141.152584,158.474547,1.007248
2280490.651420,142.123888,159.445888,1.006982
2280491.651420,143.095643,160.417682,1.006715
2280492.651420,144.067864,161.389940,1.006447
2280493.651420,145.040566,162.362681,1.006178
2280494.651420,146.013768,163.335921,1.005908
2280495.651420,146.987491,164.309682,1.005638
2280496.651420,147.961760,165.283989,1.005367
2280497.651420,148.936600,166.258867,1.005096
2280498.651420,149.912034,167.234339,1.004825
2280499.651420,150.888084,168.210427,1.004553
2280500.651420,151.864765,169.187147,1.004280
2280501.651420,152.842087,170.164507,1.004006
2280502.651420,153.820051,171.142509,1.003731
2280503.651420,154.798652,172.121149,1.003455
2280504.651420,155.777879,173.100414,1.003176
2280505.651420,156.757718,174.080290,1.002896
2280506.651420,157.738152,175.060763,1.002613
2280507.651420,158.719169,176.041818,1.002328
2280508.651420,159.700755,177.023442,1.002041
2280509.651420,160.682899,178.005625,1.001752
2280510.651420,161.665591,178.988355,1.001461
2280511.651420,162.648820,179.971621,1.001168
2280512.651420,163.632573,180.955413,1.000874
2280513.651420,164.616843,181.939721,1.000578
2280514.651420,165.601621,182.924537,1.000282
2280515.651420,166.586903,183.909857,0.999985
2280516.651420,167.572684,184.895676,0.999689
2280517.651420,168.558964,185.881994,0.999392
2280518.651420,169.545743,186.868812,0.999096
2280519.651420,170.533026,187.856133,0.998800
2280520.651420,171.520818,188.843963,0.998506
2280521.651420,172.509129,189.832312,0.998213
2280522.651420,173.497972,190.821194,0.997922
2280523.651420,174.487364,191.810624,0.997632
2280524.651420,175.477325,192.800623,0.997344
2280525.651420,176.467876,193.791212,0.997059
2280526.651420,177.459037,194.782411,0.996775
2280527.651420,178.450828,195.774240,0.996494
2280528.651420,179.443260,196.766711,0.996215
2280529.651420,180.436342,197.759831,0.995937
2280530.651420,181.430075,198.753602,0.995662
2280531.651420,182.424456,199.748020,0.995387
2280532.651420,183.419476,200.743079,0.995114
2280533.651420,184.415126,201.738767,0.994841
2280534.651420,185.411393,202.735072,0.994569
2280535.651420,186.408264,203.731982,0.994297
2280536.651420,187.405725,204.729481,0.994026
2280537.651420,188.403759,205.727553,0.993755
2280538.651420,189.402349,206.726181,0.993484
2280539.651420,190.401476,207.725346,0.993214
2280540.651420,191.401120,208.725028,0.992944
2280541.651420,192.401263,209.725209,0.992676
2280542.651420,193.401887,210.725872,0.992409
2280543.651420,194.402978,211.727001,0.992143
2280544.651420,195.404522,212.728583,0.991879
2280545.651420,196.406509,213.730608,0.991618
2280546.651420,197.408931,214.733068,0.991359
2280547.651420,198.411783,215.735958,0.991102
2280548.651420,199.415062,216.739275,0.990849
2280549.651420,200.418770,217.743022,0.990598
2280550.651420,201.422912,218.747202,0.990352
2280551.651420,202.427499,219.751827,0.990109
2280552.651420,203.432542,220.756908,0.989871
2280553.651420,204.438057,221.762462,0.989637
2280554.651420,205.444060,222.768503,0.989408
2280555.651420,206.450563,223.775044,0.989183
2280556.651420,207.457575,224.782094,0.988963
2280557.651420,208.465101,225.789658,0.988747
2280558.651420,209.473142,226.797737,0.988535
2280559.651420,210.481697,227.806330,0.988328
2280560.651420,211.490762,228.815434,0.988124
2280561.651420,212.500333,229.825042,0.987923
2280562.651420,213.510400,230.835148,0.987726
2280563.651420,214.520953,231.845739,0.987532
2280564.651420,215.531976,232.856800,0.987340
2280565.651420,216.543449,233.868311,0.987151
2280566.651420,217.555351,234.880251,0.986965
2280567.651420,218.567657,235.892595,0.986781
2280568.651420,219.580341,236.905318,0.986600
2280569.651420,220.593378,237.918392,0.986422
2280570.651420,221.606741,238.931794,0.986246
2280571.651420,222.620409,239.945500,0.986074
2280572.651420,223.634361,240.959490,0.985905
2280573.651420,224.648577,241.973745,0.985740
2280574.651420,225.663042,242.988248,0.985579
2280575.651420,226.677743,244.002987,0.985422
2280576.651420,227.692668,245.017950,0.985269
2280577.651420,228.707812,246.033132,0.985121
2280578.651420,229.723171,247.048529,0.984978
2280579.651420,230.738746,248.064142,0.984840
2280580.651420,231.754543,249.079978,0.984708
2280581.651420,232.770570,250.096042,0.984582
2280582.651420,233.786835,251.112346,0.984462
2280583.651420,234.803345,252.128894,0.984348
2280584.651420,235.820105,253.145692,0.984240
2280585.651420,236.837117,254.162742,0.984139
2280586.651420,237.854382,255.180046,0.984044
2280587.651420,238.871903,256.197605,0.983954
2280588.651420,239.889683,257.215423,0.983870
2280589.651420,240.907721,258.233499,0.983792
2280590.651420,241.926015,259.251831,0.983718
2280591.651420,242.944556,260.270411,0.983649
2280592.651420,243.963332,261.289225,0.983585
2280593.651420,244.982323,262.308254,0.983524
2280594.651420,246.001506,263.327475,0.983468
2280595.651420,247.020854,264.346861,0.983415
2280596.651420,248.040340,265.366385,0.983367
2280597.651420,249.059933,266.386017,0.983322
2280598.651420,250.079607,267.405729,0.983281
2280599.651420,251.099334,268.425493,0.983244
2280600.651420,252.119088,269.445286,0.983211
2280601.651420,253.138846,270.465082,0.983182
2280602.651420,254.158587,271.484861,0.983158
2280603.651420,255.178292,272.504605,0.983138
2280604.651420,256.197945,273.524296,0.983123
2280605.651420,257.217532,274.543921,0.983112
2280606.651420,258.237044,275.563471,0.983107
2280607.651420,259.256476,276.582940,0.983108
2280608.651420,260.275824,277.602327,0.983114
2280609.651420,261.295090,278.621631,0.983126
2280610.651420,262.314277,279.640856,0.983145
2280611.651420,263.333385,280.660003,0.983170
2280612.651420,264.352417,281.679073,0.983202
2280613.651420,265.371374,282.698067,0.983241
2280614.651420,266.390259,283.716991,0.983286
2280615.651420,267.409080,284.735850,0.983337
2280616.651420,268.427845,285.754653,0.983395
2280617.651420,269.446564,286.773410,0.983459
2280618.651420,270.465239,287.792124,0.983528
2280619.651420,271.483869,288.810792,0.983603
2280620.651420,272.502446,289.829407,0.983682
2280621.651420,273.520953,290.847952,0.983766
2280622.651420,274.539372,291.866409,0.983854
2280623.651420,275.557679,292.884754,0.983946
2280624.651420,276.575848,293.902961,0.984042
2280625.651420,277.593852,294.921004,0.984142
2280626.651420,278.611665,295.938855,0.984245
2280627.651420,279.629260,296.956488,0.984352
2280628.651420,280.646613,297.973879,0.984463
2280629.651420,281.663700,298.991005,0.984577
2280630.651420,282.680500,300.007842,0.984695
2280631.651420,283.696991,301.024371,0.984816
2280632.651420,284.713155,302.040574,0.984941
2280633.651420,285.728976,303.056433,0.985070
2280634.651420,286.744442,304.071937,0.985204
2280635.651420,287.759540,305.087073,0.985341
2280636.651420,288.774264,306.101835,0.985484
2280637.651420,289.788608,307.116218,0.985631
2280638.651420,290.802571,308.130218,0.985783
2280639.651420,291.816149,309.143835,0.985941
2280640.651420,292.829344,310.157068,0.986104
2280641.651420,293.842158,311.169920,0.986273
2280642.651420,294.854598,312.182398,0.986447
2280643.651420,295.866677,313.194515,0.986628
2280644.651420,296.878412,314.206289,0.986813
2280645.651420,297.889820,315.217735,0.987004
2280646.651420,298.900912,316.228865,0.987200
2280647.651420,299.911694,317.239685,0.987400
2280648.651420,300.922165,318.250195,0.987604
2280649.651420,301.932318,319.260385,0.987812
2280650.651420,302.942139,320.270245,0.988023
2280651.651420,303.951613,321.279756,0.988238
2280652.651420,304.960720,322.288902,0.988455
2280653.651420,305.969440,323.297660,0.988675
2280654.651420,306.977753,324.306011,0.988897
2280655.651420,307.985639,325.313935,0.989121
2280656.651420,308.993077,326.321412,0.989348
2280657.651420,310.000049,327.328422,0.989576
2280658.651420,311.006536,328.334947,0.989806
2280659.651420,312.012520,329.340969,0.990038
2280660.651420,313.017985,330.346472,0.990272
2280661.651420,314.022915,331.351440,0.990508
2280662.651420,315.027295,332.355858,0.990745
2280663.651420,316.031112,333.359714,0.990985
2280664.651420,317.034356,334.362995,0.991227
2280665.651420,318.037016,335.365694,0.991472
2280666.651420,319.039087,336.367803,0.991720
2280667.651420,320.040565,337.369319,0.991971
2280668.651420,321.041448,338.370241,0.992225
2280669.651420,322.041743,339.370574,0.992483
2280670.651420,323.041462,340.370330,0.992744
2280671.651420,324.040622,341.369529,0.993009
2280672.651420,325.039249,342.368194,0.993277
2280673.651420,326.037365,343.366348,0.993549
2280674.651420,327.034989,344.364011,0.993824
2280675.651420,328.032137,345.361196,0.994102
2280676.651420,329.028814,346.357912,0.994382
2280677.651420,330.025022,347.354158,0.994664
2280678.651420,331.020758,348.349933,0.994948
2280679.651420,332.016015,349.345227,0.995233
2280680.651420,333.010783,350.340034,0.995519
2280681.651420,334.005052,351.334340,0.995806
2280682.651420,334.998809,352.328136,0.996094
2280683.651420,335.992044,353.321408,0.996382
2280684.651420,336.984744,354.314147,0.996669
2280685.651420,337.976898,355.306339,0.996957
2280686.651420,338.968493,356.297973,0.997244
2280687.651420,339.959519,357.289036,0.997530
2280688.651420,340.949961,358.279517,0.997816
2280689.651420,341.939809,359.269402,0.998101
2280690.651420,342.929046,0.258678,0.998386
2280691.651420,343.917661,1.247331,0.998670
2280692.651420,344.905639,2.235347,0.998953
2280693.651420,345.892968,3.222714,0.999236
2280694.651420,346.879637,4.209422,0.999520
2280695.651420,347.865642,5.195465,0.999803
2280696.651420,348.850983,6.180844,1.000088
2280697.651420,349.835666,7.165565,1.000373
2280698.651420,350.819708,8.149646,1.000658
