jul_day,true_long (na),true_long (sa),ayanamsha
1902667.688736,360.000000,2.970848,2.970848
1902675.688736,7.797520,10.768670,2.971150
1902683.688736,15.557706,18.529158,2.971453
1902691.688736,23.289783,26.261538,2.971755
1902699.688736,30.995977,33.968034,2.972057
1902698.653210,30.000000,32.972018,2.972018
1902706.653210,37.681580,40.653901,2.972321
1902714.653210,45.339521,48.312144,2.972623
1902722.653210,52.983439,55.956365,2.972926
1902730.653210,60.616190,63.589418,2.973228
1902730.006838,60.000000,62.973204,2.973204
1902738.006838,67.620788,70.594295,2.973506
1902746.006838,75.237104,78.210912,2.973809
1902754.006838,82.857764,85.831875,2.974111
1902762.006838,90.483706,93.458119,2.974414
1902761.499501,90.000000,92.974395,2.974395
1902769.499501,97.631372,100.606069,2.974697
1902777.499501,105.277772,108.252771,2.974999
1902785.499501,112.946759,115.922061,2.975302
1902793.499501,120.635987,123.611591,2.975604
1902792.838622,120.000000,122.975579,2.975579
1902800.838622,127.710257,130.686139,2.975882
1902808.838622,135.451890,138.428074,2.976184
1902816.838622,143.228732,146.205218,2.976487
1902824.838622,151.036672,154.013462,2.976789
1902823.778297,150.000000,152.976749,2.976749
1902831.778297,157.836931,160.813982,2.977052
1902839.778297,165.714334,168.691688,2.977354
1902847.778297,173.631104,176.608761,2.977657
1902855.778297,181.581437,184.559396,2.977959
1902854.189612,180.000000,182.977899,2.977899
1902862.189612,187.978150,190.956352,2.978202
1902870.189612,195.995206,198.973710,2.978504
1902878.189612,204.046271,207.025077,2.978806
1902886.189612,212.122981,215.102090,2.979109
1902884.089135,210.000000,212.979030,2.979030
1902892.089135,218.095612,221.074944,2.979332
1902900.089135,226.218075,229.197710,2.979634
1902908.089135,234.360094,237.340031,2.979937
1902916.089135,242.511316,245.491555,2.980239
1902913.625202,240.000000,242.980146,2.980146
1902921.625202,248.156782,251.137231,2.980449
1902929.625202,256.321467,259.302218,2.980751
1902937.625202,264.485795,267.466849,2.981054
1902945.625202,272.639137,275.620494,2.981356
1902943.034321,270.000000,272.981258,2.981258
1902951.034321,278.144703,281.126264,2.981561
1902959.034321,286.277262,289.259126,2.981863
1902967.034321,294.390009,297.372175,2.982166
1902975.034321,302.473895,305.456363,2.982468
1902972.582875,300.000000,302.982375,2.982375
1902980.582875,308.062975,311.045653,2.982678
1902988.582875,316.098708,319.081689,2.982980
1902996.582875,324.101306,327.084589,2.983283
1903004.582875,332.064435,335.048020,2.983585
1903002.504939,330.000000,332.983507,2.983507
1903010.504939,337.934466,340.918275,2.983809
1903018.504939,345.835519,348.819631,2.984112
1903026.504939,353.699666,356.684080,2.984414
1903034.504939,1.523202,4.507919,2.984717
