jul_day,true_long (na),true_long (sa),ayanamsha
2460048.904417,0.000000,24.188568,24.188568
2460056.904417,7.824364,32.013238,24.188874
2460064.904417,15.613473,39.802654,24.189181
2460072.904417,23.367287,47.556774,24.189488
2460080.904417,31.094490,55.284284,24.189794
2460079.769848,30.000000,54.189751,24.189751
2460087.769848,37.707392,61.897449,24.190057
2460095.769848,45.388979,69.579343,24.190364
2460103.769848,53.048582,77.239252,24.190670
2460111.769848,60.695999,84.886976,24.190977
2460111.041416,60.000000,84.190949,24.190949
2460119.041416,67.639211,91.830467,24.191256
2460127.041416,75.267856,99.459418,24.191562
2460135.041416,82.892610,107.084479,24.191869
2460143.041416,90.523542,114.715718,24.192176
2460142.492818,90.000000,114.192155,24.192155
2460150.492818,97.637279,121.829740,24.192461
2460158.492818,105.281754,129.474522,24.192768
2460166.492818,112.941379,137.134453,24.193074
2460174.492818,120.624336,144.817717,24.193381
2460173.843581,120.000000,144.193356,24.193356
2460181.843581,127.702940,151.896603,24.193663
2460189.843581,135.428379,159.622348,24.193969
2460197.843581,143.185129,167.379405,24.194276
2460205.843581,150.976709,175.171292,24.194582
2460204.842599,150.000000,174.194544,24.194544
2460212.842599,157.819501,182.014352,24.194851
2460220.842599,165.670611,189.865769,24.195157
2460228.842599,173.561045,197.756509,24.195464
2460236.842599,181.490015,205.685786,24.195770
2460235.341967,180.000000,204.195713,24.195713
2460243.341967,187.955767,212.151786,24.196020
2460251.341967,195.943579,220.139905,24.196326
2460259.341967,203.967808,228.164441,24.196633
2460267.341967,212.024739,236.221678,24.196939
2460265.334057,210.000000,234.196862,24.196862
2460273.334057,218.074832,242.272001,24.197169
2460281.334057,226.172176,250.369652,24.197476
2460289.334057,234.293256,258.491039,24.197782
2460297.334057,242.432193,266.630281,24.198089
2460294.944391,240.000000,264.197997,24.197997
2460302.944391,248.144014,272.342318,24.198304
2460310.944391,256.293160,280.491770,24.198610
2460318.944391,264.447429,288.646346,24.198917
2460326.944391,272.599937,296.799161,24.199224
2460324.391998,270.000000,294.199126,24.199126
2460332.391998,278.144186,302.343618,24.199432
2460340.391998,286.273638,310.473377,24.199739
2460348.391998,294.389262,318.589308,24.200046
2460356.391998,302.484784,326.685136,24.200352
2460353.933677,300.000000,324.200258,24.200258
2460361.933677,308.075453,332.276018,24.200565
2460369.933677,316.120103,340.320974,24.200871
2460377.933677,324.137217,348.338395,24.201178
2460385.933677,332.122412,356.323896,24.201484
2460383.803712,330.000000,354.201403,24.201403
2460391.803712,337.956852,2.158561,24.201709
2460399.803712,345.875433,10.077449,24.202016
2460407.803712,353.761557,17.963880,24.202322
2460415.803712,1.613179,25.815808,24.202629
