jul_day,true_long (na),true_long (sa),ayanamsha,vakya_sign,min,sec,trd
2232502.159816,7.812316,15.491898,-,11,15,39.834302
2232510.159816,15.587026,15.492203,-,13,31,2.619193
2232518.159816,23.332889,15.492508,-,15,14,53.463436
2232526.159816,31.052731,15.492813,-,16,48,34.082516
2232533.067217,37.695094,15.493076,-,18,17,39.648827
2232541.067217,45.365026,15.493381,-,19,48,14.643929
2232549.067217,53.019499,15.493686,-,20,43,53.911695
2232557.067217,60.661821,15.493991,-,21,27,38.539962
2232564.373823,67.629356,15.494270,-,22,14,19.058013
2232572.373823,75.251814,15.494575,-,22,39,9.065289
2232580.373823,82.876799,15.494879,-,22,30,3.204799
2232588.373823,90.505828,15.495184,-,22,15,29.768926
2232595.843457,97.632571,15.495469,-,22,2,44.736510
2232603.843457,105.277671,15.495774,-,21,17,38.228577
2232611.843457,112.943433,15.496079,-,20,3,15.457409
2232619.843457,120.628345,15.496384,-,18,54,18.975671
2232627.190070,127.703816,15.496664,-,17,46,15.812620
2232635.190070,135.436849,15.496969,-,16,1,4.859781
2232643.190070,143.203785,15.497274,-,13,59,1.754935
2232651.190070,151.000837,15.497579,-,12,10,36.783667
2232658.164871,157.824668,15.497844,-,10,31,11.630848
2232666.164871,165.688221,15.498149,-,8,11,12.637453
2232674.164871,173.590964,15.498454,-,5,50,7.500636
2232682.164871,181.526797,15.498759,-,3,51,0.148934
2232688.628245,187.963299,15.499006,-,2,12,7.461537
2232696.628245,195.964938,15.499310,+,0,5,54.040854
2232704.628245,204.001492,15.499615,+,2,11,35.701942
2232712.628245,212.064258,15.499920,+,3,45,57.343565
2232718.582413,218.082046,15.500147,+,4,55,21.927980
2232726.582413,226.191594,15.500452,+,6,34,22.449717
2232734.582413,234.322498,15.500757,+,7,51,15.114068
2232742.582413,242.464204,15.501062,+,8,30,8.510974
2232748.162021,248.148041,15.501275,+,8,52,56.865233
2232756.162021,256.305559,15.501580,+,9,27,3.973951
2232764.162021,264.465102,15.501884,+,9,34,21.192607
2232772.162021,272.615824,15.502189,+,9,2,36.015123
2232777.593364,278.143045,15.502396,+,8,34,57.803659
2232785.593364,286.275842,15.502701,+,7,58,4.044241
2232793.593364,294.391332,15.503006,+,6,55,45.921432
2232801.593364,302.480060,15.503311,+,5,19,25.221746
2232807.137432,308.068811,15.503522,+,4,7,43.076803
2232815.137432,316.111942,15.503827,+,2,35,16.419489
2232823.137432,324.124070,15.504132,+,0,43,39.696977
2232831.137432,332.098216,15.504437,-,1,33,4.612155
2232837.028534,337.946224,15.504662,-,3,13,35.576567
2232845.028534,345.859829,15.504967,-,5,11,1.251620
2232853.028534,353.737838,15.505272,-,7,19,10.234452
2232861.028534,1.575820,15.505576,-,9,43,15.763108
