jd,theta_na,theta_sa,r
1903473.500000,72.363017,75.364332,1.017302
1903474.500000,73.314890,76.316243,1.017304
1903475.500000,74.266727,77.268118,1.017303
1903476.500000,75.218556,78.219984,1.017298
1903477.500000,76.170397,79.171863,1.017290
1903478.500000,77.122269,80.123773,1.017278
1903479.500000,78.074191,81.075733,1.017263
1903480.500000,79.026182,82.027761,1.017244
1903481.500000,79.978262,82.979880,1.017221
1903482.500000,80.930454,83.932109,1.017194
1903483.500000,81.882776,84.884469,1.017163
1903484.500000,82.835244,85.836975,1.017127
1903485.500000,83.787873,86.789641,1.017085
1903486.500000,84.740670,87.742476,1.017039
1903487.500000,85.693643,88.695487,1.016987
1903488.500000,86.646795,89.648677,1.016929
1903489.500000,87.600127,90.602047,1.016866
1903490.500000,88.553636,91.555594,1.016796
1903491.500000,89.507317,92.509312,1.016721
1903492.500000,90.461161,93.463194,1.016640
1903493.500000,91.415158,94.417229,1.016552
1903494.500000,92.369297,95.371405,1.016459
1903495.500000,93.323565,96.325712,1.016359
1903496.500000,94.277955,97.280140,1.016254
1903497.500000,95.232461,98.234683,1.016143
1903498.500000,96.187084,99.189344,1.016027
1903499.500000,97.141831,100.144129,1.015906
1903500.500000,98.096715,101.099050,1.015780
1903501.500000,99.051753,102.054127,1.015650
1903502.500000,100.006967,103.009378,1.015516
1903503.500000,100.962377,103.964826,1.015379
1903504.500000,101.918001,104.920488,1.015239
1903505.500000,102.873858,105.876382,1.015095
1903506.500000,103.829964,106.832527,1.014949
1903507.500000,104.786340,107.788941,1.014800
1903508.500000,105.743009,108.745647,1.014648
1903509.500000,106.699995,109.702671,1.014493
1903510.500000,107.657325,110.660039,1.014335
1903511.500000,108.615022,111.617774,1.014173
1903512.500000,109.573106,112.575896,1.014008
1903513.500000,110.531594,113.534421,1.013839
1903514.500000,111.490497,114.493362,1.013666
1903515.500000,112.449824,115.452727,1.013489
1903516.500000,113.409580,116.412521,1.013308
1903517.500000,114.369765,117.372744,1.013122
1903518.500000,115.330379,118.333395,1.012932
1903519.500000,116.291415,119.294469,1.012736
1903520.500000,117.252865,120.255957,1.012536
1903521.500000,118.214718,121.217848,1.012331
1903522.500000,119.176960,122.180128,1.012121
1903523.500000,120.139580,123.142785,1.011906
1903524.500000,121.102566,124.105809,1.011687
1903525.500000,122.065911,125.069192,1.011462
1903526.500000,123.029613,126.032931,1.011234
1903527.500000,123.993672,126.997028,1.011001
1903528.500000,124.958093,127.961488,1.010764
1903529.500000,125.922884,128.926316,1.010525
1903530.500000,126.888052,129.891522,1.010282
1903531.500000,127.853606,130.857114,1.010037
1903532.500000,128.819556,131.823102,1.009790
1903533.500000,129.785912,132.789495,1.009541
1903534.500000,130.752689,133.756311,1.009290
1903535.500000,131.719907,134.723566,1.009039
1903536.500000,132.687588,135.691285,1.008786
1903537.500000,133.655759,136.659493,1.008531
1903538.500000,134.624446,137.628218,1.008276
1903539.500000,135.593674,138.597484,1.008019
1903540.500000,136.563464,139.567312,1.007760
1903541.500000,137.533834,140.537720,1.007500
1903542.500000,138.504796,141.508720,1.007238
1903543.500000,139.476358,142.480320,1.006975
1903544.500000,140.448526,143.452525,1.006708
1903545.500000,141.421301,144.425338,1.006440
