theta_na,r
14.184547,1.007116
15.155698,1.007381
16.126430,1.007644
17.096746,1.007906
18.066649,1.008165
19.036138,1.008421
20.005213,1.008674
20.973872,1.008923
21.942111,1.009168
22.909925,1.009410
23.877305,1.009647
24.844243,1.009880
25.810727,1.010109
26.776747,1.010333
27.742294,1.010554
28.707360,1.010771
29.671941,1.010984
30.636034,1.011193
31.599639,1.011399
32.562760,1.011601
33.525405,1.011801
34.487587,1.011997
35.449322,1.012191
36.410634,1.012382
37.371548,1.012571
38.332093,1.012757
39.292298,1.012942
40.252186,1.013124
41.211777,1.013303
42.171089,1.013481
43.130134,1.013655
44.088927,1.013826
45.047481,1.013993
46.005811,1.014156
46.963926,1.014315
47.921832,1.014469
48.879533,1.014618
49.837027,1.014762
50.794307,1.014900
51.751366,1.015033
52.708193,1.015160
53.664780,1.015281
54.621116,1.015397
55.577195,1.015507
56.533011,1.015612
57.488561,1.015712
