jd,theta_na,theta_sa,r
1830464.540000,112.721534,112.964851,1.013421
1830469.540000,117.524978,117.768484,1.012404
1830474.540000,122.336753,122.580447,1.011294
1830479.540000,127.158118,127.402001,1.010124
1830484.540000,131.991574,132.235646,1.008910
1830489.540000,136.839447,137.083708,1.007630
1830494.540000,141.700872,141.945322,1.006265
1830499.540000,146.574819,146.819458,1.004827
1830504.540000,151.461135,151.705962,1.003350
1830509.540000,156.360503,156.605519,1.001873
1830514.540000,161.275563,161.520768,1.000409
1830519.540000,166.207302,166.452695,0.998936
1830524.540000,171.154322,171.399904,0.997440
1830529.540000,176.115292,176.361062,0.995937
1830534.540000,181.089066,181.335026,0.994463
1830539.540000,186.076150,186.322298,0.993059
1830544.540000,191.078642,191.324979,0.991730
1830549.540000,196.096201,196.342727,0.990455
1830554.540000,201.127142,201.373857,0.989223
1830559.540000,206.169302,206.416205,0.988047
1830564.540000,211.220683,211.467774,0.986964
1830569.540000,216.281906,216.529186,0.986011
1830574.540000,221.353879,221.601348,0.985187
1830579.540000,226.435654,226.683312,0.984465
1830584.540000,231.525146,231.772993,0.983835
1830589.540000,236.619265,236.867300,0.983304
1830594.540000,241.715890,241.964113,0.982908
1830599.540000,246.815525,247.063938,0.982677
1830604.540000,251.918270,252.166872,0.982597
1830609.540000,257.023134,257.271924,0.982640
1830614.540000,262.127622,262.376601,0.982789
1830619.540000,267.228250,267.477417,0.983046
1830624.540000,272.323457,272.572813,0.983445
1830629.540000,277.413472,277.663017,0.984003
1830634.540000,282.498561,282.748295,0.984699
1830639.540000,287.577915,287.827837,0.985501
1830644.540000,292.648900,292.899011,0.986382
1830649.540000,297.708545,297.958844,0.987346
1830654.540000,302.755884,303.006372,0.988419
1830659.540000,307.791448,308.042125,0.989611
1830664.540000,312.816179,313.067045,0.990894
1830669.540000,317.829547,318.080601,0.992232
1830674.540000,322.829282,323.080525,0.993594
1830679.540000,327.813380,328.064812,0.994985
1830684.540000,332.781362,333.032982,0.996429
1830689.540000,337.734737,337.986547,0.997927
1830694.540000,342.675006,342.927004,0.999452
1830699.540000,347.602000,347.854187,1.000964
1830704.540000,352.514252,352.766628,1.002432
1830709.540000,357.410361,357.662925,1.003867
1830714.540000,2.290705,2.543458,1.005292
1830719.540000,7.157688,7.410630,1.006704
1830724.540000,12.013099,12.266229,1.008078
1830729.540000,16.857256,17.110575,1.009373
1830734.540000,21.689349,21.942857,1.010564
1830739.540000,26.508252,26.761948,1.011669
1830744.540000,31.315471,31.569356,1.012710
1830749.540000,36.113731,36.367805,1.013686
1830754.540000,40.904995,41.159258,1.014574
1830759.540000,45.690128,45.944579,1.015334
1830764.540000,50.468245,50.722885,1.015951
1830769.540000,55.238824,55.493653,1.016449
1830774.540000,60.004079,60.259096,1.016852
1830779.540000,64.766624,65.021830,1.017163
1830784.540000,69.528694,69.784089,1.017360
1830789.540000,74.291273,74.546857,1.017406
1830794.540000,79.053037,79.308809,1.017298
1830799.540000,83.814320,84.070281,1.017066
1830804.540000,88.577312,88.833462,1.016736
1830809.540000,93.344460,93.600798,1.016315
1830814.540000,98.118302,98.374830,1.015780
1830819.540000,102.899093,103.155809,1.015103
1830824.540000,107.685486,107.942391,1.014291
1830829.540000,112.478207,112.735300,1.013377
1830834.540000,117.278951,117.536233,1.012392
1830839.540000,122.090203,122.347674,1.011345
1830844.540000,126.914291,127.171950,1.010213
1830849.540000,131.750370,132.008218,1.008974
1830854.540000,136.597388,136.855425,1.007646
1830859.540000,141.455688,141.713914,1.006264
1830864.540000,146.326420,146.584834,1.004861
1830869.540000,151.212183,151.470786,1.003448
1830874.540000,156.114196,156.372988,1.002001
1830879.540000,161.030956,161.289936,1.000505
1830884.540000,165.961295,166.220464,0.998983
1830889.540000,170.904698,171.164056,0.997472
1830894.540000,175.862024,176.121571,0.996006
1830899.540000,180.835501,181.095236,0.994593
1830904.540000,185.824953,186.084877,0.993207
1830909.540000,190.828578,191.088690,0.991839
1830914.540000,195.844489,196.104790,0.990512
1830919.540000,200.871345,201.131836,0.989262
1830924.540000,205.909953,206.170632,0.988123
1830929.540000,210.961473,211.222341,0.987094
1830934.540000,216.024925,216.285982,0.986148
1830939.540000,221.098055,221.359300,0.985277
1830944.540000,226.178121,226.439555,0.984500
1830949.540000,231.263437,231.525059,0.983850
1830954.540000,236.354643,236.616454,0.983356
1830959.540000,241.451950,241.713950,0.983008
1830964.540000,246.554142,246.816331,0.982773
1830969.540000,251.658445,251.920822,0.982641
1830974.540000,256.761694,257.024260,0.982625
1830979.540000,261.862452,262.125206,0.982755
1830984.540000,266.961032,267.223975,0.983052
1830989.540000,272.057606,272.320738,0.983491
1830994.540000,277.150891,277.414212,0.984041
1830999.540000,282.237968,282.501478,0.984683
1831004.540000,287.315973,287.579671,0.985424
1831009.540000,292.383945,292.647832,0.986293
1831014.540000,297.442339,297.706414,0.987299
1831019.540000,302.491881,302.756145,0.988411
1831024.540000,307.531384,307.795837,0.989593
1831029.540000,312.558350,312.822992,0.990821
