jd,theta_na,theta_sa,r
2342416.500000,340.471681,0.158448,0.997443
2342417.500000,341.461546,1.148351,0.997727
2342418.500000,342.450777,2.137621,0.998013
2342419.500000,343.439396,3.126278,0.998301
2342420.500000,344.427431,4.114351,0.998591
2342421.500000,345.414912,5.101871,0.998882
2342422.500000,346.401865,6.088861,0.999176
2342423.500000,347.388308,7.075343,0.999470
2342424.500000,348.374253,8.061326,0.999766
2342425.500000,349.359705,9.046816,1.000063
2342426.500000,350.344664,10.031813,1.000359
2342427.500000,351.329128,11.016316,1.000656
2342428.500000,352.313091,12.000317,1.000952
2342429.500000,353.296547,12.983811,1.001247
2342430.500000,354.279489,13.966792,1.001542
2342431.500000,355.261911,14.949251,1.001835
2342432.500000,356.243804,15.931183,1.002126
2342433.500000,357.225163,16.912580,1.002415
2342434.500000,358.205981,17.893436,1.002703
2342435.500000,359.186250,18.873744,1.002988
2342436.500000,0.165963,19.853495,1.003272
2342437.500000,1.145110,20.832680,1.003552
2342438.500000,2.123679,21.811287,1.003831
2342439.500000,3.101659,22.789305,1.004107
2342440.500000,4.079036,23.766721,1.004382
2342441.500000,5.055798,24.743521,1.004654
2342442.500000,6.031936,25.719696,1.004924
2342443.500000,7.007442,26.695241,1.005193
2342444.500000,7.982318,27.670155,1.005461
2342445.500000,8.956570,28.644445,1.005727
2342446.500000,9.930216,29.618130,1.005993
2342447.500000,10.903281,30.591233,1.006259
2342448.500000,11.875796,31.563786,1.006523
2342449.500000,12.847792,32.535820,1.006788
2342450.500000,13.819299,33.507366,1.007052
2342451.500000,14.790341,34.478446,1.007315
2342452.500000,15.760935,35.449078,1.007577
2342453.500000,16.731093,36.419274,1.007838
2342454.500000,17.700826,37.389045,1.008097
2342455.500000,18.670139,38.358396,1.008355
2342456.500000,19.639037,39.327333,1.008610
2342457.500000,20.607524,40.295858,1.008862
2342458.500000,21.575603,41.263975,1.009112
2342459.500000,22.543276,42.231686,1.009359
2342460.500000,23.510544,43.198993,1.009602
2342461.500000,24.477409,44.165896,1.009841
2342462.500000,25.443871,45.132396,1.010076
2342463.500000,26.409928,46.098491,1.010308
2342464.500000,27.375576,47.064178,1.010535
2342465.500000,28.340810,48.029449,1.010757
2342466.500000,29.305619,48.994297,1.010976
2342467.500000,30.269992,49.958708,1.011189
2342468.500000,31.233913,50.922668,1.011398
2342469.500000,32.197370,51.886163,1.011603
2342470.500000,33.160350,52.849181,1.011804
2342471.500000,34.122846,53.811715,1.012000
2342472.500000,35.084857,54.773765,1.012193
2342473.500000,36.046392,55.735337,1.012383
2342474.500000,37.007466,56.696450,1.012570
2342475.500000,37.968105,57.657127,1.012754
2342476.500000,38.928338,58.617399,1.012935
2342477.500000,39.888197,59.577295,1.013114
2342478.500000,40.847709,60.536845,1.013291
2342479.500000,41.806899,61.496074,1.013465
2342480.500000,42.765791,62.455004,1.013637
2342481.500000,43.724400,63.413651,1.013806
2342482.500000,44.682743,64.372033,1.013972
2342483.500000,45.640835,65.330162,1.014135
2342484.500000,46.598688,66.288053,1.014294
2342485.500000,47.556314,67.245718,1.014450
2342486.500000,48.513724,68.203166,1.014601
2342487.500000,49.470928,69.160409,1.014749
2342488.500000,50.427936,70.117455,1.014892
2342489.500000,51.384755,71.074312,1.015030
2342490.500000,52.341392,72.030987,1.015162
2342491.500000,53.297849,72.987482,1.015290
2342492.500000,54.254128,73.943799,1.015412
2342493.500000,55.210225,74.899935,1.015529
2342494.500000,56.166132,75.855880,1.015639
2342495.500000,57.121839,76.811625,1.015744
2342496.500000,58.077328,77.767153,1.015843
2342497.500000,59.032586,78.722449,1.015936
2342498.500000,59.987598,79.677499,1.016023
2342499.500000,60.942356,80.632295,1.016105
2342500.500000,61.896857,81.586834,1.016181
2342501.500000,62.851109,82.541125,1.016253
2342502.500000,63.805126,83.495180,1.016320
2342503.500000,64.758928,84.449020,1.016383
2342504.500000,65.712540,85.402670,1.016442
2342505.500000,66.665987,86.356156,1.016498
2342506.500000,67.619296,87.309503,1.016550
2342507.500000,68.572490,88.262735,1.016598
2342508.500000,69.525591,89.215874,1.016644
2342509.500000,70.478619,90.168941,1.016686
2342510.500000,71.431595,91.121955,1.016724
2342511.500000,72.384539,92.074936,1.016759
2342512.500000,73.337468,93.027904,1.016790
2342513.500000,74.290401,93.980875,1.016816
2342514.500000,75.243356,94.933868,1.016839
2342515.500000,76.196347,95.886898,1.016857
2342516.500000,77.149391,96.839980,1.016870
2342517.500000,78.102500,97.793127,1.016879
2342518.500000,79.055684,98.746349,1.016882
2342519.500000,80.008952,99.699656,1.016879
2342520.500000,80.962308,100.653050,1.016872
2342521.500000,81.915752,101.606531,1.016858
2342522.500000,82.869276,102.560094,1.016838
