Name, Date and Time, RA (J2000), Dec (J2000), Mag., Phase, "Dist., AU", Elong.
Vigorous (Sun), 1600-04-08 03:57:59,    1h28m19.2s, +9°16'52.3", -26.73, —, 1.003317, —
Vigorous (Sun), 1600-04-09 03:57:59,    1h32m00.6s, +9°38'29.7", -26.73, —, 1.003606, —
Vigorous (Sun), 1600-04-10 03:57:59,    1h35m42.4s, +9°59'57.7", -26.73, —, 1.003894, —
Vigorous (Sun), 1600-04-11 03:57:59,    1h39m24.6s, +10°21'15.8", -26.73, —, 1.004179, —
Vigorous (Sun), 1600-04-12 03:57:59,    1h43m07.2s, +10°42'23.7", -26.73, —, 1.004462, —
Vigorous (Sun), 1600-04-13 03:57:59,    1h46m50.2s, +11°03'21.0", -26.73, —, 1.004741, —
Vigorous (Sun), 1600-04-14 03:57:59,    1h50m33.6s, +11°24'07.4", -26.73, —, 1.005018, —
Vigorous (Sun), 1600-04-15 03:57:59,    1h54m17.4s, +11°44'42.5", -26.73, —, 1.005292, —
Vigorous (Sun), 1600-04-16 03:57:59,    1h58m01.6s, +12°05'05.9", -26.73, —, 1.005562, —
Vigorous (Sun), 1600-04-17 03:57:59,    2h01m46.3s, +12°25'17.4", -26.73, —, 1.005829, —
Vigorous (Sun), 1600-04-18 03:57:59,    2h05m31.4s, +12°45'16.5", -26.73, —, 1.006094, —
Vigorous (Sun), 1600-04-19 03:57:59,    2h09m17.0s, +13°05'02.9", -26.73, —, 1.006356, —
Vigorous (Sun), 1600-04-20 03:57:59,    2h13m03.0s, +13°24'36.4", -26.73, —, 1.006616, —
Vigorous (Sun), 1600-04-21 03:57:59,    2h16m49.5s, +13°43'56.5", -26.73, —, 1.006874, —
Vigorous (Sun), 1600-04-22 03:57:59,    2h20m36.5s, +14°03'03.0", -26.73, —, 1.007130, —
Vigorous (Sun), 1600-04-23 03:57:59,    2h24m24.0s, +14°21'55.6", -26.73, —, 1.007384, —
Vigorous (Sun), 1600-04-24 03:57:59,    2h28m12.0s, +14°40'33.9", -26.73, —, 1.007636, —
Vigorous (Sun), 1600-04-25 03:57:59,    2h32m00.5s, +14°58'57.7", -26.73, —, 1.007888, —
Vigorous (Sun), 1600-04-26 03:57:59,    2h35m49.5s, +15°17'06.7", -26.72, —, 1.008137, —
Vigorous (Sun), 1600-04-27 03:57:59,    2h39m39.0s, +15°35'00.6", -26.72, —, 1.008386, —
Vigorous (Sun), 1600-04-28 03:57:59,    2h43m29.1s, +15°52'39.0", -26.72, —, 1.008633, —
Vigorous (Sun), 1600-04-29 03:57:59,    2h47m19.8s, +16°10'01.6", -26.72, —, 1.008878, —
Vigorous (Sun), 1600-04-30 03:57:59,    2h51m11.0s, +16°27'08.3", -26.72, —, 1.009123, —
Vigorous (Sun), 1600-05-01 03:57:59,    2h55m02.8s, +16°43'58.6", -26.72, —, 1.009366, —
Vigorous (Sun), 1600-05-02 03:57:59,    2h58m55.1s, +17°00'32.3", -26.72, —, 1.009607, —
Vigorous (Sun), 1600-05-03 03:57:59,    3h02m48.1s, +17°16'49.1", -26.72, —, 1.009846, —
Vigorous (Sun), 1600-05-04 03:57:59,    3h06m41.6s, +17°32'48.7", -26.72, —, 1.010083, —
Vigorous (Sun), 1600-05-05 03:57:59,    3h10m35.7s, +17°48'30.7", -26.72, —, 1.010318, —
Vigorous (Sun), 1600-05-06 03:57:59,    3h14m30.4s, +18°03'55.0", -26.72, —, 1.010550, —
Vigorous (Sun), 1600-05-07 03:57:59,    3h18m25.7s, +18°19'01.2", -26.72, —, 1.010780, —
Vigorous (Sun), 1600-05-08 03:57:59,    3h22m21.6s, +18°33'49.0", -26.72, —, 1.011005, —
Vigorous (Sun), 1600-05-09 03:57:59,    3h26m18.1s, +18°48'18.1", -26.72, —, 1.011228, —
Vigorous (Sun), 1600-05-10 03:57:59,    3h30m15.2s, +19°02'28.2", -26.72, —, 1.011445, —
Vigorous (Sun), 1600-05-11 03:57:59,    3h34m12.9s, +19°16'19.0", -26.72, —, 1.011659, —
Vigorous (Sun), 1600-05-12 03:57:59,    3h38m11.1s, +19°29'50.2", -26.72, —, 1.011867, —
Vigorous (Sun), 1600-05-13 03:57:59,    3h42m10.0s, +19°43'01.6", -26.72, —, 1.012071, —
Vigorous (Sun), 1600-05-14 03:57:59,    3h46m09.3s, +19°55'52.8", -26.72, —, 1.012269, —
Vigorous (Sun), 1600-05-15 03:57:59,    3h50m09.2s, +20°08'23.6", -26.72, —, 1.012463, —
