Name, Date and Time, RA (J2000), Dec (J2000), Mag., Phase, "Dist., AU", Elong.
Vigorous (Sun), 2029-08-17 02:39:00,    9h44m42.5s, +13°33'53.6", -26.72, —, 1.012522, —
Vigorous (Sun), 2029-08-18 02:39:00,    9h48m26.3s, +13°14'44.0", -26.72, —, 1.012325, —
Vigorous (Sun), 2029-08-19 02:39:00,    9h52m09.5s, +12°55'21.9", -26.72, —, 1.012125, —
Vigorous (Sun), 2029-08-20 02:39:00,    9h55m52.2s, +12°35'47.6", -26.72, —, 1.011922, —
Vigorous (Sun), 2029-08-21 02:39:00,    9h59m34.4s, +12°16'01.4", -26.72, —, 1.011716, —
Vigorous (Sun), 2029-08-22 02:39:00,   10h03m16.1s, +11°56'03.7", -26.72, —, 1.011508, —
Vigorous (Sun), 2029-08-23 02:39:00,   10h06m57.4s, +11°35'54.7", -26.72, —, 1.011298, —
Vigorous (Sun), 2029-08-24 02:39:00,   10h10m38.2s, +11°15'34.6", -26.72, —, 1.011086, —
Vigorous (Sun), 2029-08-25 02:39:00,   10h14m18.6s, +10°55'03.9", -26.72, —, 1.010872, —
Vigorous (Sun), 2029-08-26 02:39:00,   10h17m58.6s, +10°34'22.8", -26.72, —, 1.010656, —
Vigorous (Sun), 2029-08-27 02:39:00,   10h21m38.2s, +10°13'31.6", -26.72, —, 1.010439, —
Vigorous (Sun), 2029-08-28 02:39:00,   10h25m17.4s, +9°52'30.5", -26.72, —, 1.010219, —
Vigorous (Sun), 2029-08-29 02:39:00,   10h28m56.2s, +9°31'20.0", -26.72, —, 1.009997, —
Vigorous (Sun), 2029-08-30 02:39:00,   10h32m34.7s, +9°10'00.3", -26.72, —, 1.009773, —
Vigorous (Sun), 2029-08-31 02:39:00,   10h36m12.9s, +8°48'31.7", -26.72, —, 1.009546, —
Vigorous (Sun), 2029-09-01 02:39:00,   10h39m50.8s, +8°26'54.6", -26.72, —, 1.009317, —
Vigorous (Sun), 2029-09-02 02:39:00,   10h43m28.4s, +8°05'09.2", -26.72, —, 1.009085, —
Vigorous (Sun), 2029-09-03 02:39:00,   10h47m05.7s, +7°43'15.9", -26.72, —, 1.008851, —
Vigorous (Sun), 2029-09-04 02:39:00,   10h50m42.7s, +7°21'15.1", -26.72, —, 1.008613, —
Vigorous (Sun), 2029-09-05 02:39:00,   10h54m19.6s, +6°59'06.9", -26.72, —, 1.008372, —
Vigorous (Sun), 2029-09-06 02:39:00,   10h57m56.2s, +6°36'51.9", -26.72, —, 1.008128, —
Vigorous (Sun), 2029-09-07 02:39:00,   11h01m32.5s, +6°14'30.3", -26.73, —, 1.007880, —
Vigorous (Sun), 2029-09-08 02:39:00,   11h05m08.7s, +5°52'02.5", -26.73, —, 1.007629, —
Vigorous (Sun), 2029-09-09 02:39:00,   11h08m44.7s, +5°29'28.9", -26.73, —, 1.007373, —
Vigorous (Sun), 2029-09-10 02:39:00,   11h12m20.6s, +5°06'49.7", -26.73, —, 1.007114, —
Vigorous (Sun), 2029-09-11 02:39:00,   11h15m56.3s, +4°44'05.4", -26.73, —, 1.006851, —
Vigorous (Sun), 2029-09-12 02:39:00,   11h19m31.9s, +4°21'16.4", -26.73, —, 1.006585, —
Vigorous (Sun), 2029-09-13 02:39:00,   11h23m07.3s, +3°58'22.8", -26.73, —, 1.006316, —
Vigorous (Sun), 2029-09-14 02:39:00,   11h26m42.7s, +3°35'25.3", -26.73, —, 1.006044, —
Vigorous (Sun), 2029-09-15 02:39:00,   11h30m17.9s, +3°12'23.9", -26.73, —, 1.005770, —
Vigorous (Sun), 2029-09-16 02:39:00,   11h33m53.1s, +2°49'19.1", -26.73, —, 1.005494, —
Vigorous (Sun), 2029-09-17 02:39:00,   11h37m28.3s, +2°26'11.2", -26.73, —, 1.005217, —
Vigorous (Sun), 2029-09-18 02:39:00,   11h41m03.4s, +2°03'00.5", -26.73, —, 1.004938, —
Vigorous (Sun), 2029-09-19 02:39:00,   11h44m38.5s, +1°39'47.4", -26.73, —, 1.004659, —
Vigorous (Sun), 2029-09-20 02:39:00,   11h48m13.6s, +1°16'32.0", -26.73, —, 1.004380, —
