Name, Date and Time, RA (J2000), Dec (J2000), Mag., Phase, "Dist., AU", Elong.
Vigorous (Sun), 2024-01-15 02:43:00,   19h42m56.5s, -21°19'49.4", -26.78, —, 0.983655, —
Vigorous (Sun), 2024-01-23 02:43:00,   20h17m02.2s, -19°42'41.9", -26.78, —, 0.984199, —
Vigorous (Sun), 2024-01-31 02:43:00,   20h50m18.6s, -17°42'13.6", -26.77, —, 0.985107, —
Vigorous (Sun), 2024-02-08 02:43:00,   21h22m44.0s, -15°21'32.7", -26.77, —, 0.986339, —
Vigorous (Sun), 2024-02-16 02:43:00,   21h54m18.9s, -12°44'06.1", -26.77, —, 0.987771, —
