Name, Date and Time, RA (J2000), Dec (J2000), Mag., Phase, "Dist., AU", Elong.
Vigorous (Sun), 2029-11-16 14:19:00,   15h25m56.0s, -18°44'09.7", -26.77, —, 0.988851, —
Vigorous (Sun), 2029-11-17 14:19:00,   15h30m03.8s, -18°58'58.1", -26.77, —, 0.988632, —
Vigorous (Sun), 2029-11-18 14:19:00,   15h34m12.4s, -19°13'26.1", -26.77, —, 0.988416, —
Vigorous (Sun), 2029-11-19 14:19:00,   15h38m21.8s, -19°27'33.4", -26.77, —, 0.988205, —
Vigorous (Sun), 2029-11-20 14:19:00,   15h42m32.1s, -19°41'19.7", -26.77, —, 0.987999, —
Vigorous (Sun), 2029-11-21 14:19:00,   15h46m43.1s, -19°54'44.6", -26.77, —, 0.987798, —
Vigorous (Sun), 2029-11-22 14:19:00,   15h50m55.0s, -20°07'47.8", -26.77, —, 0.987601, —
Vigorous (Sun), 2029-11-23 14:19:00,   15h55m07.6s, -20°20'28.9", -26.77, —, 0.987410, —
Vigorous (Sun), 2029-11-24 14:19:00,   15h59m21.1s, -20°32'47.5", -26.77, —, 0.987223, —
Vigorous (Sun), 2029-11-25 14:19:00,   16h03m35.3s, -20°44'43.3", -26.77, —, 0.987041, —
Vigorous (Sun), 2029-11-26 14:19:00,   16h07m50.3s, -20°56'15.9", -26.77, —, 0.986864, —
Vigorous (Sun), 2029-11-27 14:19:00,   16h12m06.0s, -21°07'25.1", -26.77, —, 0.986692, —
Vigorous (Sun), 2029-11-28 14:19:00,   16h16m22.5s, -21°18'10.6", -26.77, —, 0.986524, —
Vigorous (Sun), 2029-11-29 14:19:00,   16h20m39.7s, -21°28'31.9", -26.77, —, 0.986361, —
Vigorous (Sun), 2029-11-30 14:19:00,   16h24m57.6s, -21°38'28.8", -26.77, —, 0.986201, —
Vigorous (Sun), 2029-12-01 14:19:00,   16h29m16.2s, -21°48'00.9", -26.77, —, 0.986045, —
Vigorous (Sun), 2029-12-02 14:19:00,   16h33m35.5s, -21°57'08.0", -26.77, —, 0.985893, —
Vigorous (Sun), 2029-12-03 14:19:00,   16h37m55.4s, -22°05'49.8", -26.77, —, 0.985744, —
Vigorous (Sun), 2029-12-04 14:19:00,   16h42m15.9s, -22°14'06.1", -26.77, —, 0.985597, —
Vigorous (Sun), 2029-12-05 14:19:00,   16h46m37.0s, -22°21'56.4", -26.77, —, 0.985454, —
Vigorous (Sun), 2029-12-06 14:19:00,   16h50m58.7s, -22°29'20.7", -26.77, —, 0.985313, —
Vigorous (Sun), 2029-12-07 14:19:00,   16h55m20.9s, -22°36'18.6", -26.77, —, 0.985176, —
Vigorous (Sun), 2029-12-08 14:19:00,   16h59m43.6s, -22°42'50.0", -26.77, —, 0.985041, —
Vigorous (Sun), 2029-12-09 14:19:00,   17h04m06.7s, -22°48'54.6", -26.78, —, 0.984910, —
Vigorous (Sun), 2029-12-10 14:19:00,   17h08m30.3s, -22°54'32.3", -26.78, —, 0.984782, —
Vigorous (Sun), 2029-12-11 14:19:00,   17h12m54.2s, -22°59'42.8", -26.78, —, 0.984659, —
Vigorous (Sun), 2029-12-12 14:19:00,   17h17m18.6s, -23°04'26.1", -26.78, —, 0.984539, —
Vigorous (Sun), 2029-12-13 14:19:00,   17h21m43.2s, -23°08'41.9", -26.78, —, 0.984424, —
Vigorous (Sun), 2029-12-14 14:19:00,   17h26m08.2s, -23°12'30.1", -26.78, —, 0.984315, —
Vigorous (Sun), 2029-12-15 14:19:00,   17h30m33.4s, -23°15'50.6", -26.78, —, 0.984210, —
Vigorous (Sun), 2029-12-16 14:19:00,   17h34m58.9s, -23°18'43.3", -26.78, —, 0.984111, —
Vigorous (Sun), 2029-12-17 14:19:00,   17h39m24.6s, -23°21'08.0", -26.78, —, 0.984017, —
Vigorous (Sun), 2029-12-18 14:19:00,   17h43m50.4s, -23°23'04.8", -26.78, —, 0.983929, —
Vigorous (Sun), 2029-12-19 14:19:00,   17h48m16.4s, -23°24'33.5", -26.78, —, 0.983847, —
Vigorous (Sun), 2029-12-20 14:19:00,   17h52m42.6s, -23°25'34.1", -26.78, —, 0.983772, —
