Name, Date and Time, RA (J2000), Dec (J2000), Mag., Phase, "Dist., AU", Elong.
Vigorous (Sun), 2030-03-21 05:40:00,    0h00m00.5s, -0°00'04.5", -26.75, —, 0.995956, —
Vigorous (Sun), 2030-03-22 05:40:00,    0h03m39.1s, +0°23'37.0", -26.75, —, 0.996239, —
Vigorous (Sun), 2030-03-23 05:40:00,    0h07m17.6s, +0°47'17.3", -26.75, —, 0.996524, —
Vigorous (Sun), 2030-03-24 05:40:00,    0h10m56.1s, +1°10'56.3", -26.75, —, 0.996812, —
Vigorous (Sun), 2030-03-25 05:40:00,    0h14m34.5s, +1°34'33.6", -26.75, —, 0.997101, —
Vigorous (Sun), 2030-03-26 05:40:00,    0h18m12.9s, +1°58'08.7", -26.75, —, 0.997391, —
Vigorous (Sun), 2030-03-27 05:40:00,    0h21m51.3s, +2°21'41.3", -26.75, —, 0.997682, —
Vigorous (Sun), 2030-03-28 05:40:00,    0h25m29.7s, +2°45'11.1", -26.75, —, 0.997973, —
Vigorous (Sun), 2030-03-29 05:40:00,    0h29m08.1s, +3°08'37.7", -26.75, —, 0.998265, —
Vigorous (Sun), 2030-03-30 05:40:00,    0h32m46.6s, +3°32'00.8", -26.75, —, 0.998556, —
Vigorous (Sun), 2030-03-31 05:40:00,    0h36m25.2s, +3°55'19.8", -26.74, —, 0.998846, —
Vigorous (Sun), 2030-04-01 05:40:00,    0h40m03.8s, +4°18'34.6", -26.74, —, 0.999136, —
Vigorous (Sun), 2030-04-02 05:40:00,    0h43m42.6s, +4°41'44.6", -26.74, —, 0.999425, —
Vigorous (Sun), 2030-04-03 05:40:00,    0h47m21.5s, +5°04'49.6", -26.74, —, 0.999712, —
Vigorous (Sun), 2030-04-04 05:40:00,    0h51m00.5s, +5°27'49.2", -26.74, —, 0.999998, —
Vigorous (Sun), 2030-04-05 05:40:00,    0h54m39.7s, +5°50'42.9", -26.74, —, 1.000283, —
Vigorous (Sun), 2030-04-06 05:40:00,    0h58m19.0s, +6°13'30.5", -26.74, —, 1.000567, —
Vigorous (Sun), 2030-04-07 05:40:00,    1h01m58.5s, +6°36'11.6", -26.74, —, 1.000849, —
Vigorous (Sun), 2030-04-08 05:40:00,    1h05m38.2s, +6°58'45.9", -26.74, —, 1.001131, —
Vigorous (Sun), 2030-04-09 05:40:00,    1h09m18.2s, +7°21'12.9", -26.74, —, 1.001411, —
Vigorous (Sun), 2030-04-10 05:40:00,    1h12m58.3s, +7°43'32.4", -26.74, —, 1.001690, —
Vigorous (Sun), 2030-04-11 05:40:00,    1h16m38.7s, +8°05'43.9", -26.74, —, 1.001968, —
Vigorous (Sun), 2030-04-12 05:40:00,    1h20m19.4s, +8°27'47.2", -26.74, —, 1.002246, —
Vigorous (Sun), 2030-04-13 05:40:00,    1h24m00.3s, +8°49'42.0", -26.74, —, 1.002523, —
Vigorous (Sun), 2030-04-14 05:40:00,    1h27m41.5s, +9°11'27.8", -26.74, —, 1.002799, —
Vigorous (Sun), 2030-04-15 05:40:00,    1h31m23.1s, +9°33'04.4", -26.74, —, 1.003076, —
Vigorous (Sun), 2030-04-16 05:40:00,    1h35m05.0s, +9°54'31.5", -26.73, —, 1.003353, —
Vigorous (Sun), 2030-04-17 05:40:00,    1h38m47.2s, +10°15'48.7", -26.73, —, 1.003630, —
Vigorous (Sun), 2030-04-18 05:40:00,    1h42m29.8s, +10°36'55.8", -26.73, —, 1.003907, —
