jul_day,true_long (na),true_long (sa),ayanamsha,vakya_sign,min,sec,trd
2469188.306774,7.823177,24.538869,-,10,36,33.766608
2469196.306774,15.608525,24.539176,-,12,52,44.904162
2469204.306774,23.363733,24.539482,-,14,41,15.009883
2469212.306774,31.093255,24.539789,-,16,13,43.132874
2469219.173581,37.705509,24.540052,-,17,40,10.104294
2469227.173581,45.384326,24.540359,-,19,16,15.414202
2469235.173581,53.046144,24.540666,-,20,17,27.393912
2469243.173581,60.695629,24.540972,-,21,1,51.147210
2469250.445481,67.636577,24.541251,-,21,48,19.290677
2469258.445481,75.263719,24.541558,-,22,22,17.404079
2469266.445481,82.891790,24.541864,-,22,18,56.723144
2469274.445481,90.523623,24.542171,-,22,5,23.985916
2469281.896666,97.634482,24.542457,-,21,55,51.992754
2469289.896666,105.278599,24.542763,-,21,21,10.562608
2469297.896666,112.941934,24.543070,-,20,11,59.635798
2469305.896666,120.624433,24.543377,-,19,3,0.201912
2469313.247124,127.699788,24.543658,-,18,0,45.854395
2469321.247124,135.426326,24.543965,-,16,24,27.700486
2469329.247124,143.185808,24.544272,-,14,25,51.855777
2469337.247124,150.975825,24.544578,-,12,35,56.364312
2469344.246576,157.815891,24.544847,-,11,2,47.485564
2469352.246576,165.669016,24.545153,-,8,48,45.065971
2469360.246576,173.561354,24.545460,-,6,27,34.914037
2469368.246576,181.487476,24.545767,-,4,25,57.748705
2469374.747564,187.952492,24.546016,-,2,51,1.677682
2469382.747564,195.942448,24.546322,-,0,36,9.493100
2469390.747564,203.968602,24.546629,+,1,34,9.286079
2469398.747564,212.021862,24.546936,+,3,11,44.179664
2469404.741328,218.072316,24.547166,+,4,20,20.146998
2469412.741328,226.171901,24.547472,+,5,58,30.478071
2469420.741328,234.295185,24.547779,+,7,23,49.368405
2469428.741328,242.430511,24.548086,+,8,7,10.438609
2469434.352206,248.141950,24.548301,+,8,31,1.174522
2469442.352206,256.293562,24.548607,+,9,5,48.323923
2469450.352206,264.450100,24.548914,+,9,23,32.066492
2469458.352206,272.599355,24.549221,+,8,57,19.050154
2469463.799362,278.142025,24.549429,+,8,31,17.402987
2469471.799362,286.274083,24.549736,+,7,55,24.498943
2469479.799362,294.391731,24.550043,+,7,3,31.890362
2469487.799362,302.484186,24.550349,+,5,32,50.429443
2469493.340588,308.072915,24.550562,+,4,22,29.637214
2469501.340588,316.120264,24.550868,+,2,50,27.294659
2469509.340588,324.139064,24.551175,+,1,7,40.984245
2469517.340588,332.121198,24.551482,-,1,4,19.254977
2469523.210823,337.954256,24.551707,-,2,44,40.616905
2469531.210823,345.875747,24.552014,-,4,42,38.128059
2469539.210823,353.763411,24.552320,-,6,44,24.577959
2469547.210823,1.611891,24.552627,-,9,5,28.272750
